name,conf,dir,grid,n_ch,n_tiles,n_z,cond,rep,z_pitch
00.0mT-np-0uMsta-XY01-1,experiment.yaml,untreated-noTcells-2,XY01,4,33,8,00.0mT-np-0uMsta,1,200
00.0mT-np-0uMsta-XY02-2,experiment.yaml,untreated-noTcells-2,XY02,4,33,8,00.0mT-np-0uMsta,2,200
00.0mT-np-0uMsta-XY03-3,experiment.yaml,untreated-noTcells-2,XY03,4,33,7,00.0mT-np-0uMsta,3,200
02.5mT-np-0uMsta-XY01-1,experiment.yaml,025mioTcells-nopeptide,XY01,4,33,9,02.5mT-np-0uMsta,1,200
02.5mT-np-0uMsta-XY02-2,experiment.yaml,025mioTcells-nopeptide,XY02,4,33,8,02.5mT-np-0uMsta,2,200
02.5mT-np-0uMsta-XY03-3,experiment.yaml,025mioTcells-nopeptide,XY03,4,33,8,02.5mT-np-0uMsta,3,200
05.0mT-np-0uMsta-XY01-1,experiment.yaml,5mioTcells-nopeptide,XY01,4,33,6,05.0mT-np-0uMsta,1,200
05.0mT-np-0uMsta-XY02-2,experiment.yaml,5mioTcells-nopeptide,XY02,4,33,7,05.0mT-np-0uMsta,2,200
05.0mT-np-0uMsta-XY03-3,experiment.yaml,5mioTcells-nopeptide,XY03,4,33,7,05.0mT-np-0uMsta,3,200
10.0mT-np-0uMsta-XY01-1,experiment.yaml,10mioTcells-nopeptide,XY01,4,33,7,10.0mT-np-0uMsta,1,200
10.0mT-np-0uMsta-XY02-2,experiment.yaml,10mioTcells-nopeptide,XY02,4,33,8,10.0mT-np-0uMsta,2,200
10.0mT-np-0uMsta-XY03-3,experiment.yaml,10mioTcells-nopeptide,XY03,4,33,9,10.0mT-np-0uMsta,3,200
20.0mT-np-0uMsta-XY01-1,experiment.yaml,20mioTcells-nopeptide,XY01,4,33,9,20.0mT-np-0uMsta,1,200
20.0mT-np-0uMsta-XY02-2,experiment.yaml,20mioTcells-nopeptide,XY02,4,33,8,20.0mT-np-0uMsta,2,200
20.0mT-np-0uMsta-XY03-3,experiment.yaml,20mioTcells-nopeptide,XY03,4,33,8,20.0mT-np-0uMsta,3,200
02.5mT-wp-0uMsta-XY01-1,experiment.yaml,025mioTcells-peptide,XY01,4,33,7,02.5mT-wp-0uMsta,1,200
02.5mT-wp-0uMsta-XY02-2,experiment.yaml,025mioTcells-peptide,XY02,4,33,8,02.5mT-wp-0uMsta,2,200
02.5mT-wp-0uMsta-XY03-3,experiment.yaml,025mioTcells-peptide,XY03,4,33,6,02.5mT-wp-0uMsta,3,200
05.0mT-wp-0uMsta-XY01-1,experiment.yaml,5mioTcells-peptide,XY01,4,33,7,05.0mT-wp-0uMsta,1,200
05.0mT-wp-0uMsta-XY02-2,experiment.yaml,5mioTcells-peptide,XY02,4,33,7,05.0mT-wp-0uMsta,2,200
05.0mT-wp-0uMsta-XY03-3,experiment.yaml,5mioTcells-peptide,XY03,4,33,9,05.0mT-wp-0uMsta,3,200
10.0mT-wp-0uMsta-XY01-1,experiment.yaml,10mioTcells-peptide,XY01,4,33,9,10.0mT-wp-0uMsta,1,200
10.0mT-wp-0uMsta-XY02-2,experiment.yaml,10mioTcells-peptide,XY02,4,33,8,10.0mT-wp-0uMsta,2,200
10.0mT-wp-0uMsta-XY03-3,experiment.yaml,10mioTcells-peptide,XY03,4,33,10,10.0mT-wp-0uMsta,3,200
20.0mT-wp-0uMsta-XY01-1,experiment.yaml,20mioTcells-peptide,XY01,4,33,7,20.0mT-wp-0uMsta,1,200
20.0mT-wp-0uMsta-XY02-2,experiment.yaml,20mioTcells-peptide,XY02,4,33,7,20.0mT-wp-0uMsta,2,200
20.0mT-wp-0uMsta-XY03-3,experiment.yaml,20mioTcells-peptide,XY03,4,33,7,20.0mT-wp-0uMsta,3,200
20.0mT-wp-0uMsta-XY01-4,experiment.yaml,20-10-5mioTcells-peptide,XY01,4,33,7,20.0mT-wp-0uMsta,4,200
10.0mT-wp-0uMsta-XY02-4,experiment.yaml,20-10-5mioTcells-peptide,XY02,4,33,9,10.0mT-wp-0uMsta,4,200
05.0mT-wp-0uMsta-XY03-4,experiment.yaml,20-10-5mioTcells-peptide,XY03,4,33,8,05.0mT-wp-0uMsta,4,200
00.0mT-np-4uMsta-XY01-1,experiment.yaml,4uMsta-2,XY01,4,33,8,00.0mT-np-4uMsta,1,200
00.0mT-np-4uMsta-XY02-2,experiment.yaml,4uMsta-2,XY02,4,33,7,00.0mT-np-4uMsta,2,200
00.0mT-np-4uMsta-XY03-3,experiment.yaml,4uMsta-2,XY03,4,33,7,00.0mT-np-4uMsta,3,200
